id,partnerid,sessionid,ageyo,sex,ethnicity,rfattrac,rkindunder,sim_manuallandmarks,avg_manuallandmarks,LD1_manuallandmarks,year,ethnicityhighgroup,partnerclass_hg,ethnicmatch_hg,partnermasc_LDA_manuallandmarks,sim_NN,sim_autolandmarks,LD1_autolandmarks,gsd_autolandmarked,pitch_angle,roll_angle,yaw_angle,avg_NN,LD_NN,gsd_NN,gsd_manuallandmarks,avg_autolandmark
14000024,14001021,1402,18.41667,1,Caucasian,3,5,-0.110560481,-0.073069183,2.629244079,2014,Caucasian,Caucasian,1,-1.081418756,-789.0366967,-0.074774441,2.643637142,2.637485554,-1.9504987,-3.7647705,3.7497802,-526.9013708,4.164383443,1.46227392,2.699944322,-0.049561173
14000024,14001022,1402,18.41667,1,Caucasian,3,6,-0.068929455,-0.073069183,2.629244079,2014,Caucasian,Caucasian,1,-1.215380349,-923.7998881,-0.063708923,2.643637142,2.637485554,-1.9504987,-3.7647705,3.7497802,-526.9013708,4.164383443,1.46227392,2.699944322,-0.049561173
14000024,14001023,1402,18.41667,1,Caucasian,3,4,-0.115570133,-0.073069183,2.629244079,2014,Caucasian,Caucasian,1,-0.728469313,-1060.250952,-0.104237263,2.643637142,2.637485554,-1.9504987,-3.7647705,3.7497802,-526.9013708,4.164383443,1.46227392,2.699944322,-0.049561173
14000024,14001024,1402,18.41667,1,Caucasian,4,6,-0.113728028,-0.073069183,2.629244079,2014,Caucasian,Caucasian,1,-2.745544742,-1021.289078,-0.101024858,2.643637142,2.637485554,-1.9504987,-3.7647705,3.7497802,-526.9013708,4.164383443,1.46227392,2.699944322,-0.049561173
14000031,14001031,1403,23.75,1,Caucasian,3,4,-0.068353238,-0.057931436,0.708332651,2014,Caucasian,Caucasian,1,-0.444543958,-794.8140063,-0.068515373,3.367348653,3.716675437,-5.037453,3.280199,2.8545358,-600.1344948,3.392721729,0.86268551,3.946936882,-0.059328423
14000031,14001032,1403,23.75,1,Caucasian,3,5,-0.096771831,-0.057931436,0.708332651,2014,Caucasian,Caucasian,1,-1.213619301,-880.9289864,-0.094097845,3.367348653,3.716675437,-5.037453,3.280199,2.8545358,-600.1344948,3.392721729,0.86268551,3.946936882,-0.059328423
14000031,14001033,1403,23.75,1,Caucasian,4,6,-0.075223273,-0.057931436,0.708332651,2014,Caucasian,Caucasian,1,-0.463715732,-1043.578067,-0.073616611,3.367348653,3.716675437,-5.037453,3.280199,2.8545358,-600.1344948,3.392721729,0.86268551,3.946936882,-0.059328423
14000031,14001034,1403,23.75,1,Caucasian,6,5,-0.096010553,-0.057931436,0.708332651,2014,Caucasian,Asian,-1,-0.586310348,-807.207652,-0.086265341,3.367348653,3.716675437,-5.037453,3.280199,2.8545358,-600.1344948,3.392721729,0.86268551,3.946936882,-0.059328423
14000031,14001035,1403,23.75,1,Caucasian,2,4,-0.110610226,-0.057931436,0.708332651,2014,Caucasian,Caucasian,1,-1.167108313,-764.4080365,-0.100806219,3.367348653,3.716675437,-5.037453,3.280199,2.8545358,-600.1344948,3.392721729,0.86268551,3.946936882,-0.059328423
14000032,14001031,1403,17.83333,1,Asian,4,5,-0.059599464,-0.08609756,2.493776158,2014,Asian,Caucasian,-1,-0.444543958,-890.095148,-0.050529391,2.288959064,2.252991301,-0.80149275,-2.5205479,4.3209543,-443.4375292,3.223697416,1.330228663,2.374124746,-0.046305553
